,local,id,out,in,type,quantity,limit,tax,fee,opened,closed,
replacewithplica,bittrex,f18f0f18-886c-424e-bd9d-fe2402625fb8,BTC,NEO,LIMIT_BUY,0.20824635,0.00479,0.00000249,0.0009975,9/6/2017 12:30:35,9/6/2017 12:30:35,replacewithplicaplus
replacewithplica,bittrex,c5fb4aff-3246-4b91-8da9-d69c1f814f40,BTC,ZEC,LIMIT_BUY,0.00869379,0.05736856,0.00000124,0.00049874,10/7/2017 13:32:53,10/7/2017 13:32:53,replacewithplicaplus
replacewithplica,bittrex,ae26a77c-a43b-4bfb-a982-aba92c356a15,BTC,KMD,LIMIT_BUY,1.20371247,0.00042263,0.00000127,0.00050872,10/7/2017 13:32:39,10/7/2017 13:32:39,replacewithplicaplus
replacewithplica,bittrex,0d8edeeb-8d4f-4e06-a065-c3ce2ce60cbc,BTC,MTL,LIMIT_BUY,0.27862973,0.00179001,0.00000124,0.00049872,10/7/2017 13:32:10,10/7/2017 13:32:10,replacewithplicaplus
replacewithplica,bittrex,3f1ea370-de9d-4f88-a291-8252f7dfcf2c,BTC,PART,LIMIT_BUY,0.21932332,0.00227404,0.00000124,0.00049875,9/8/2017 09:53:59,9/8/2017 09:53:59,replacewithplicaplus
replacewithplica,bittrex,e4c2a8b1-d643-4e39-b0a0-45f79d1735ca,BTC,QTUM,LIMIT_BUY,0.29598528,0.0033701,0.00000249,0.00099749,9/8/2017 09:52:46,9/8/2017 09:52:46,replacewithplicaplus
replacewithplica,bittrex,30476b5c-5862-4452-b842-2211a8077129,BTC,XRP,LIMIT_BUY,20.36545529,0.00004898,0.00000249,0.0009975,9/8/2017 09:52:19,9/8/2017 09:52:19,replacewithplicaplus
replacewithplica,bittrex,43241343-28d0-4748-b64f-a08cd3e977e8,BTC,SC,LIMIT_BUY,281.779661,0.00000177,0.00000123,0.00049593,9/6/2017 12:37:24,9/6/2017 12:37:24,replacewithplicaplus
replacewithplica,bittrex,6a3cee11-e585-4bc4-aaa9-bc8508f3f7f7,BTC,XVG,LIMIT_BUY,369.1336765,0.00000153,0.00000139,0.00055739,9/6/2017 12:29:35,9/6/2017 12:29:35,replacewithplicaplus
replacewithplica,bittrex,1c337d61-25a8-4ef1-8ae6-3b718ae851fa,BTC,VTC,LIMIT_BUY,4,0.00020239,0.00000202,0.00080956,9/6/2017 10:51:04,9/7/2017 06:28:08,replacewithplicaplus
replacewithplica,bittrex,e84b6540-0f42-4d39-9938-6d604155a65c,BTC,KMD,LIMIT_BUY,1,0.00072318,0.00000179,0.000719,9/6/2017 12:33:49,9/6/2017 12:33:49,replacewithplicaplus
replacewithplica,bittrex,08764fca-f83a-4052-84b3-9a442caac73f,BTC,NEO,LIMIT_BUY,0.24409622,0.00613,0.00000374,0.0014963,9/8/2017 14:47:21,9/8/2017 14:50:23,replacewithplicaplus
replacewithplica,coinbase,59ad59ba133ed70272c2a651,EUR,BTC,LIMIT_BUY,0.00236322,9.01,0.99,10,2017-09-04 06:48:42 -0700,2017-09-04 06:48:42 -0700,replacewithplicaplus
replacewithplica,coinbase,59afd7324d3af2038e1a5191,EUR,BTC,LIMIT_BUY,0.00711162,28.01,1.99,30,2017-09-06 04:08:35 -0700,2017-09-06 04:08:35 -0700,replacewithplicaplus
replacewithplica,coinbase,59bb944be67669031b60061c,EUR,BTC,LIMIT_BUY,0.03590304,96.16,3.84,100,2017-09-15 01:50:19 -0700,2017-09-15 01:50:19 -0700,replacewithplicaplus
replacewithplica,coinbase,59ad59fa133ed700bfc2cf16,EUR,ETH,LIMIT_BUY,0.03431908,9.01,0.99,10,2017-09-04 06:49:46 -0700,2017-09-04 06:49:46 -0700,replacewithplicaplus
replacewithplica,coinbase,59b799b8f8050000accd2d4e,EUR,ETH,LIMIT_BUY,0.18324183,48.01,1.99,50,2017-09-12 01:24:24 -0700,2017-09-12 01:24:24 -0700,replacewithplicaplus
replacewithplica,gdax,349959,EUR,LTC,LIMIT_SELL,2.30868344,44.15,0,101.9283739,2017-10-09T15:22:13.505Z,2017-10-09T15:22:13.505Z,replacewithplicaplus
replacewithplica,jaxx,0xf284b03c9a5912c8fbfe26cc5b821baae08fb76e7e79be16f50c495ddd7d5a94,ETH,EOS,LIMIT_BUY,0,,0.00051416,0.101402559,9/29/2017 1:16:59 PM,9/29/2017 1:16:59 PM,replacewithplicaplus
replacewithplica,jaxx,0x34d14334cde292df428550cc1bfbfb962b518c58ff4188a30225ce534821839e,ETH,ETH,TRANSFER,0.1001245,,0.001071,,9/29/2017 1:05:04 PM,9/29/2017 1:05:04 PM,replacewithplicaplus
replacewithplica,jaxx,0xa58efde710dfd0d4fe37d7fe3affa2ad8f70685a98474fafcaa4d55ca7a13027,ETH,ETH,TRANSFER,0.122475,,0.000442071,,9/12/2017 09:58:38,9/12/2017 09:58:38,replacewithplicaplus
replacewithplica,jaxx,0xebccceba79415e77cd1e0280c36f15ff40ca82ca4d127b88d68f6a4b6b8991b1,ETH,REAL,LIMIT_BUY,15.84,,0.003406242,0.06,9/12/2017 08:36:59,9/12/2017 08:36:59,replacewithplicaplus
replacewithplica,jaxx,0x1a525f1ed1d6db4c878502da20b4d1c5b0981ee3244f250dbb309d0320592d27,ETH,ETH,TRANSFER,0.18756091,,0.0004815335021,,9/12/2017 08:29:39,9/12/2017 08:29:39,replacewithplicaplus
replacewithplica,jaxx,0xfb6d1e111240d07a9ab27187a69b79e4277aef6640f803bd6bbfa5a4ac57c23f,ETH,ATL,LIMIT_BUY,14.0895,,0.001259538,0.0279,9/8/2017 10:03:23,9/8/2017 10:03:23,replacewithplicaplus
replacewithplica,jaxx,0xa0a9e506f596ec004673b944ae7482f05d46f92eb573125a13b33c7f2c8a40ad,ETH,ETH,TRANSFER,0.03,,0.001016730662,,9/8/2017 09:53:15,9/8/2017 09:53:15,replacewithplicaplus
